x,y
-1,-0.842382503645
-0.959183673469,-0.540974092963
-0.918367346939,-0.721760051347
-0.877551020408,-0.62795813982
-0.836734693878,-0.576922085803
-0.795918367347,-0.610823159086
-0.755102040816,-0.640860902831
-0.714285714286,-0.406539291209
-0.673469387755,-0.402669698899
-0.632653061224,-0.601408755281
-0.591836734694,-0.138728422317
-0.551020408163,-0.243966635955
-0.510204081633,-0.384101983349
-0.469387755102,-0.18529037666
-0.428571428571,-0.289552460189
-0.387755102041,-0.216273033506
-0.34693877551,-0.0986665859562
-0.30612244898,-0.270564772498
-0.265306122449,-0.0546591465196
-0.224489795918,0.0603060627377
-0.183673469388,0.0852910305631
-0.142857142857,-0.0442555658156
-0.102040816327,0.108659281081
-0.0612244897959,-0.111137865255
-0.0204081632653,0.0678545433201
0.0204081632653,0.161274923823
0.0612244897959,0.0146194845881
0.102040816327,0.173463893992
0.142857142857,0.386759707517
0.183673469388,0.508754718147
0.224489795918,0.357327971116
0.265306122449,0.395108217516
0.30612244898,0.248999127882
0.34693877551,0.256612191711
0.387755102041,0.268974880285
0.428571428571,0.497011825848
0.469387755102,0.550704143637
0.510204081633,0.442287233349
0.551020408163,0.417948827966
0.591836734694,0.599225164596
0.632653061224,0.637412740823
0.673469387755,0.625694341182
0.714285714286,0.798426883475
0.755102040816,0.69478538688
0.795918367347,0.730119604977
0.836734693878,0.658566308393
0.877551020408,0.815636501382
0.918367346939,0.969401653981
0.959183673469,0.873461340873
1,0.907091460028
